Wort
im Ton danebengreifen
im Ton vergreifen
mit Kot verunreinigen
zum Vorwurf machen
sehr peinlich sein
zur Verantwortung ziehen
für schuldig erklären
mit Strafe belegen
die Unwahrheit sagen
falsch Spiel spielen
eine Affäre haben
einen Seitensprung machen
zum Hahnrei machen
hinters Licht führen
aufs Kreuz legen
übers Ohr hauen
eine Lüge auftischen
auf Betrug aus
auf Betrug ausgehend
wie eine Nutte
nicht besonders einfallsreich
ohne geistig Nährwert
schwer zu ertragen
wie die Lemming
über Leiche gehend
mit finster Absicht
in Flamme aufgehen
mit äußerst Brutalität
mit schonungslos Härte
mit wütend Entschlossenheit
Macht der Finsternis
ohne rot Faden
bald aufbrauchen sein
für nichts interessieren
die Ehre abschneiden
in Verruf bringen
ins Gerede bringen
am Zeug flicken
ans Zeug flicken
mit Dreck bewerfen
in sich kehren
nach innen kehren
an sich reißen
mit Schmutz behaften
vor Dreck starr
Dreckig und Speckig
stehen vor Dreck
vor Dreck stehen
Frech wie Dreck
die Unverfrorenheit besitzen
Frech genug sein
so schamlos sein
unverschämt genug sein
nicht zu entschlüsseln
als Flop herausstellen
ein Flop sein
nicht akzeptieren werden
nichts zusetzen haben
in sich zusammenfallen
in Trümmer fallen
umknicken wie Streichholz
gewaltsam Zugang verschaffen
nicht weiterführen werden
mit einem Defizit
mit klein Macke
nicht mehr einwandfrei
nicht mehr tadellos
nicht ohne Makel
einsam und verlassen
fernab der Zivilisation
in der Pampa
in der Walachei
weit vom Schuss
ohne sozial Bezug
die Hucke vollhauen
eine Abreibung verpassen
in Trümmer legen
in Verlust geraten
in Verstoß geraten
den Kopf abschlagen
Kopf kurz machen
als falsch erkennen
sein Posten entheben
sein Amt entheben
sein Amt Entsetzen
sein Kommando entheben
ein Häufchen Elend
mit hart Körpereinsatz
das bezahlen vergessen
lang Finger machen
vergessen zu bezahlen
die Levit lesen
einen Verweis erteilen
eine ansage machen
das Lebenslicht auslöschen
ins Jenseits befördern
ums Leben bringen
zum Schweigen bringen
zur Strecke bringen
ins Nirwana befördern
zu Tod langweilen
vor Langeweile sterben
jemanden fertig machen
die Kugel geben
den Schädel einschlagen
zu dominant sein
zu sehr dominieren
einen Schrecken einjagen
vor schrecken zusammenfahren
die Kehle zudrücken
die Luft abschnüren
Tod durch Ertrinken
außer sich geraten
die Beherrschung verlieren
die Nerv verlieren
einen Rappel kriegen
einen Tobsuchtsanfall kriegen
vor Wut schäumen
zu Boden gehen
zu Fall kommen
zu Boden fallen
nichts wahr dran
nicht zu realisieren
es fehlen an
zu kurz kommen
von Hass erfüllen
nicht wieder loslassen
sich häufig ändernd
