0
Abbau
Abbruch
Auflösung
Demontage
Dissipation
Entlassung
Rückbau
Untergang
Zerfall
Zerlegung
Zerrüttung
Zersplitterung
Zerstreuung
Zerteilung
Zertrennung
Abbau
entnehmen
Förderung
Gewinnung
Abbau
Beschneidung
Dezimierung
Herabsetzung
Kürzung
Minderung
Reduktion
Reduzierung
Senkung
Verkleinerung
Verminderung
Verringerung
Abbau
Degeneration
Mangelernährung
Schwund
Verfall
Kachexie
Marasmus
Phthise
Phthisis
Abbau
Abbruch
Auflösung
Demontage
Dissipation
Entlassung
Rückbau
Untergang
Zerfall
Zerlegung
Zerrüttung
Zersplitterung
Zerstreuung
Zerteilung
Zertrennung
Abbruch
abreißen
Demolierung
Zerstörung
Abbruch
Ausschluss
Aussperrung
Boykott
Disqualifikation
Disqualifizierung
Abbruch
Beendigung
Einstellung
Ende
Schluß
Abdankung
Abdikation
Abgang
Amtsabtretung
Amtsaufgabe
Amtsniederlegung
Ausscheiden
Demission
Renunziation
Rücktritt
Rückzug
Abdankung
Trauerfeier
Abfall
Abhang
Gefälle
Hang
Senkung
Abfall
Fall
Fall
Niedergang
sinken
Sturz
Untergang
Abfall
Ausschuß
Hausabfall
Hausmüll
Kehricht
Müll
Spreu
Unrat
Schrott
Abfall
Müll
Unrat
Abfall
Abnahme
Dämpfung
Einbuße
Nachlassen
Regression
Rückgang
Schwund
Verringerung
Degression
Dekreszenz
Abfuhr
Abtransport
Beseitigung
Entfernung
Fortschaffung
Abfuhr
Ablehnung
Absage
Nein
Nichtanerkennung
Rückweisung
Verneinung
Verweigerung
Weigerung
Zurückweisung
Abweisung
Exkusation
Abfuhr
Korb
Abschlag
Abgrund
Apokalypse
Armageddon
Ende
Supergau
Unglück
Untergang
Verderben
Zusammenbruch
Abaddon
Waterloo
Abhängigkeit
Hörigkeit
Unmündigkeit
Unselbständigkeit
abhängen
Abhängigsein
Abhängigkeit
Abhängigkeitsbeziehung
Abhängigkeitsverhältnis
Angewiesensein
Angewiesenheit
Bedingtheit
Determiniertheit
Dependenz
Abhängigkeitserkrankung
Abhängigkeitssyndrom
Suchterkrankung
Suchtverhalten
Abhängigkeit
Laster
suchen
Abhängigkeit
Interdependenz
Dependenz
Abfuhr
Ablehnung
Absage
Nein
Nichtanerkennung
Rückweisung
Verneinung
Verweigerung
Weigerung
Zurückweisung
Abweisung
Exkusation
Ablehnung
Frontstellung
Gegnerschaft
Opposition
Ekel
Ablehnung
Abneigung
Abscheu
