tweet_id,date,username,tweet,source,retweet_count,user_location,user_place,coordinates
1335684902872870912,06-12-2020,jcw_karlsruhe,#r2g-Sozialismus wirkt. Der Berliner Senat hat neben vielen anderen Missständen auch die hohen Corona-Infektionszahlen mit den schlimmen Folgen zu verantworten  (siehe verlinkter Artikel unten). https://t.co/JyAyIH3cZN,Twitter Web App,0,BaWü,,
1335684817351012353,06-12-2020,chaeztar,was kann man an einem geburtstag machen wo man eigentlich nichts machen kann wegen corona &lt;333,Twitter for iPhone,0,,,
1335684813488054277,06-12-2020,RobertsBlog,Corona-Ausbruch: Das sind die aktuell größten Hotspots der Welt https://t.co/al5dfoKthV via @tonline,Twitter Web App,0,"Lingen (Ems), Deutschland",,
1335684812879892483,06-12-2020,DontDegradeDebs,"Zu all den Leuten, die meinen, dass man all die Corona-Facts schon easy beschaffen kann, wenn man nur will: Ich bin Risikogruppe, meine Partnerin Italienerin, das bedeutet wir beide haben sehr früh mit der intensiven Beschäftigung begonnen. Wir haben internationale Berichte,",Twitter for Android,0,,,
1335684806106083329,06-12-2020,dave090679,"500 Menschen sterben täglich... an #Corona: 😴 bei Anschlägen: Innenministerkonferenz ""Wir müssen die Überwachung terroristischer Gefährder vorantreiben, Islamismus bekämpfen, Moscheen überwachen, Fingerabdrücke und DNA-Profile in Pässen speichern und bei Einreise kontrollieren! https://t.co/HaqqqQJynm",Twitter for iPhone,0,"Fredersdorf, Germany",,
1335684774783021060,06-12-2020,anticsu,Bin vorhin ne halbe Stunde nur mit Jeansjacke bei 2 Grad und regen durch Erlangen gegangen weil sich @DanielJMoreau ein Schäuferla holen wollte. Bin nicht mad es war sehr nice und dank corona ist das mein trauriges Highlight. Möchte wieder mit @DanielJMoreau auf punkkonzerte.,Twitter for Android,0,she/her,,
1335684736749084677,06-12-2020,demgenitiv,ohne corona gäb es schon längst twitter wok wm und twitter turmspringen sag's wie es ist,Twitter Web App,0,südwestsibirien,,
1335684677093494785,06-12-2020,harrytweet12,"Hab mich dieses Jahr, vor etwa vier Wochen erstmals gegen Grippe impfen lassen. War easy, keine Veränderung. Also doch eine Veränderung gibt es: Habe jetzt Tourette-Syndrom, wenn ich mit ideologischen Impfgegnern konfrontiert werde. 😅 Wann lasst ihr euch gegen COVID-19 impfen?",Twitter for iPhone,0,"Zürich, Schweiz",,
1335684640024252417,06-12-2020,KurzVorAbgrund,Habt ihr jemanden in der Familie der Corona leugnet?,Twitter for Android,0,🌧,,
1335684601646288901,06-12-2020,abbaleksandr,Corona-Protest mit rechter Hilfe - Störungsmelder https://t.co/0PsGP2OOPk,Twitter Web App,0,Jerusalem,,
1335684595413622786,06-12-2020,FriedrichReich3,"Schön heute mal keine Infektiologie, sondern pediatric advanced live support #PALS -Training am Stuttgarter Pädiatrie Simulator. So wichtig für Teams von Kindernotaufnahmen und Rettungsdienst! Vor lauter Corona nicht das Handwerk vergessen :) @stups  @KlinikumStutt",Twitter Web App,0,Stuttgart,,
1335684566888161282,06-12-2020,DostDiri,"‼️👍‼️👍RARITÄT! UNGESTEUERTE Corona-Demo ""Volksinitiative Demokratie"" in ... https://t.co/59FOHIbhUI via @YouTube",Twitter for iPad,1,,,
