tweet_id,date,username,tweet,source,retweet_count,user_location,user_place,coordinates
1349796751658651648,14-01-2021,DerDiox,"Was Andere als #Megalockdown betiteln würde ich einfach als ernsthaften Lockdown bezeichnen der vielleicht einmal konsequent umgesetzt wird. Doch noch ist ja nichts fest, mal sehen wo am Ende wieder Kompromisse gemacht werden.",Twitter Web App,0,,,
1349796748647137280,14-01-2021,radio_hoerer,Schaerer-Meyer und Ralph Alessi Trio am unerhört!-Festival. Das «unerhört!»-Festival in Zürich lieferte dieses Jahr - trotz umständlicher Corona-Massnahmen - ein vielseitiges und spannendes Programm. https://t.co/lS4PSuCrja,WordPress.com,0,"Sachsen, Deutschland",,
1349796736760508417,14-01-2021,holgereluard,"Vom #LockdownLight zum sog. ""#MegaLockdown"" . Man musste befürchten, dass die Maßnahmen nicht ausreichen, auch weil man die Schulen nicht schloss und nicht genug Arbeitnehmer ins Home Office schickte. Hinzu kommt die #Corona-Mutation.",Twitter Web App,0,,,
1349796713515651077,14-01-2021,S_Pennywise,"Sollte das tatsächlich so kommen, kann ich nicht damit rechnen, dass die Regierung unsere Spritkosten übernimmt, damit ich @V3nom851zur Arbeit fahren kann, oder? 🤔https://t.co/2NRm1jusK0",Twitter for Android,0,,,
1349796711766650881,14-01-2021,tobiasbauschke,"Zum Glück hat mal @ronzheimer, sonst wäre die Corona #Hinterzimmerpolitik, noch mehr #Hinterzimmer. https://t.co/oiV1RBh2wV",Twitter for iPad,0,"Berlin, Deutschland",,
1349796704279789568,14-01-2021,SLandwehrkanal,"Der lockdown wird das systemrelevante Handwerk vernichten,obwohl sie geöffnet haben. Hier ein Beispiel :2200 Euro Monatsmiete -Tageseinnahme in vier Tagen 38 Euro ! Einmal insolvente Handwerksmeister werden nie wieder auf die Beine kommen ! @GrueneFraktionB @RamonaPop @kaddinsky",Twitter for iPhone,0,Admiralbrücke,,
1349796686323998720,14-01-2021,hausaffe_,In Holstein gibt es keine abstandsregeln #corona #Fussball  #tagesschau,Twitter for Android,0,im Bett in nord owl,,
1349796681295007744,14-01-2021,Korsika_News,COVID-19/Korsika: Die Ausgangssperre um 18:00 Uhr gilt ab dem 16.01.2021 auch auf Korsika https://t.co/LpV9hj5qmI https://t.co/nOpC0mZgSB,Twitter Web App,0,,,
1349796676043591680,14-01-2021,aktuelle_stunde,Die Lage auf den Intensivstationen in Deutschland entspannt sich ein bisschen. Aber der Intensivmediziner Gernot Marx von @Divi_eV ist wegen der #Corona-Mutation aus Großbritannien besorgt. https://t.co/tFFAq2o7IG,TweetDeck,0,Düsseldorf,,
1349796647400857601,14-01-2021,Trollo_Koopa,"Wer aus der Geschichte nichts lernt, ist verdammt sie zu Wiederholen. Merkel schreit ""Wollt ihr den totalen Lockdown?!"" und unter #Megalockdown schreien die, die nichts gelernt haben, ordentlich zurück.",Twitter for Android,0,Absurdistan,,
