tweet_id,date,username,tweet,source,retweet_count,user_location,user_place,coordinates
1338941705656164354,15-12-2020,WeselP,"Besorgungen vor dem Lockdown - Die Kanzlerin im KaDeWe https://t.co/WsQNpxI7Tm Hat dieselbe Kanzlerin nicht noch am Sonntag davon abgeraten, einkaufen zu gehen?! Ah..ich vergas...solche Empfehlungen gelten nur für das ""dumme Volk"".....Ironie off",Twitter Web App,0,,,
1338941693580730368,15-12-2020,StpnLibrarian,Da wurde nochmal richtig „geplündert“ heute. Recht so. #Bibliothek #Lockdown https://t.co/mMBoW7NMFg,Twitter for iPhone,0,"Duesseldorf, Europe","Place(_api=<tweepy.api.API object at 0x00000209C0B0F040>, id='07d9d332ff080001', url='https://api.twitter.com/1.1/geo/id/07d9d332ff080001.json', place_type='poi', name='Zentralbibliothek Düsseldorf', full_name='Zentralbibliothek Düsseldorf', country_code='DE', country='Germany', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x00000209C0B0F040>, type='Polygon', coordinates=[[[6.796054973642378, 51.21880335561704], [6.796054973642378, 51.21880335561704], [6.796054973642378, 51.21880335561704], [6.796054973642378, 51.21880335561704]]]), attributes={})",
1338941675822051328,15-12-2020,RKristuf,#Wetz erklärt mit Händen und Mundschutz die #Selfies von Niccel Steinberger. Das #KKLB hat ihr einen ganzen Raum gewidmet. Kann dieses Museum/Großgalerie/Riesenatelier jedem nur empfehlen. Nach dem Lockdown gleich einen Ausflug nach Beromünster einplanen. https://t.co/4YYop3k0QO https://t.co/YB46x8IRMw,Twitter for iPhone,0,"Fürth, Deutschland",,
1338941664220622852,15-12-2020,TimHMB,"Was haltet ihr von der These, dass unsere Regierung durch ihr Handeln mit einem zu späten Lockdown nationalsozialistisch gehandelt hat? 🇩🇪Grundlage dieser Behauptung folgt in Kürze. #lockdown #CoronaVirusDE",Twitter for Android,0,"Bochum, Deutschland",,
1338941657841065991,15-12-2020,BirgitKieschni1,"Generell wolle er (Anm.: Veit #Gähler) aber gegen alle vorgehen, die ihm vorwerfen, rechtsextremes Material zu verbreiten, sagt er. Und die Verschwörungserzählungen? „Ich wüsste nicht, was das sein soll; das ist nicht definiert.“https://t.co/cqRTzT1ZyE",Twitter for Android,0,"Bautzen, Sachsen",,
1338941656222101504,15-12-2020,DerWiderstand2,Kennt hier jemand einen Impfassdealer? 🥸#Impfstoff #Impfung #Impfpflicht #CoronaImpfstoff #Corona #COVID19 #Covid_19 https://t.co/DX7NQBUVie,Twitter for Android,0,,,
1338941652350722049,15-12-2020,faznet,Wieder wird wegen #Corona der Präsenz-Unterricht ausgesetzt. Im Frühjahr sind viele Schulleiter nach eigener Ansicht mit dieser Herausforderung klargekommen. https://t.co/2iVTo5lS17,Buffer,0,Frankfurt am Main,,
1338941624760623107,15-12-2020,dietmar27992722,Corona-Verordnung: ÖVP-Mandatar Hörl übt massive Kritik an Regierung https://t.co/7Q3AwOhEZ2 Türkise Adler hat immer noch die Geldgierige  widerliche Futterklappe offen   . Keine Reue für Schaden im Frühjahr in Ischgl ?,Twitter Web App,0,,,
1338941603050872838,15-12-2020,FensterRentner,"Meine Shoppingausbeute am letzten Tag vorm Lockdown: Zwei Bananen und eine Tafel Schokolade (81% Kakaoanteil), gekauft um 19.30 mit maximal fünf anderen Leuten im gesamten Supermarkt.",Twitter Web App,0,"Gelsenkirchen-Buer, NRW",,
1338941575183933445,15-12-2020,Markenguthaben,"Ich bin entsetzt von der Lockerheit der #Landesregierung in #Hessen. Die haben anscheinend keine Ahnung, was gerade in den Kliniken abgeht. Und dann erlauben sie private Übernachtungen zu Weihnachten + nahezu alle Läden bleiben auf. Das ist verantwortungslos. #Corona",Twitter Web App,0,Frankfurt,,
