tweet_id,date,username,tweet,source,retweet_count,user_location,user_place,coordinates
1345801420944109568,03-01-2021,daefur_,"habe vor Lockdown Fußball mit randoms gespielt... auf einmal der Bastard trägt Serbien Trikot, wollte Sportart wechseln und in Rücken springen",Twitter Web App,0,,,
1345801408101146630,03-01-2021,ptz358,Mensch-zu-Mensch-Übertragung von COVID-19 die Abstands Regel wird nicht Eingehalten also wird der Lockdown Verlängert es wird Händchen Gehalten es wird sich um Armt es wird ohne Mundschutz geküsst es werden Babys gezeugt während des Lockdowns was die Regierung euch verboten hat,Twitter Web App,0,Baden Württemberg ,,
1345801372181082112,03-01-2021,tcaspers,Gleiche Infrastruktur wie bei Eventim Karten für Auswärts Gladbach bestellen: https://t.co/wLPLkSTzfs,Twitter Web App,0,Bridge to Gantry,,
1345801363423449090,03-01-2021,ilo_ul,"Politiker(*innen): Menschen werden unter „Generalverdacht“ gestellt, wenn wir einen Lockdown haben, anstatt nur Infizierte zu isolieren. - Äh, eher so Generalvorsicht. #zib",Twitter for iPhone,0,,,
1345801339209711616,03-01-2021,ClaudiasGenuss,Meine Worte. Wir haben keinen Lockdown. https://t.co/bmSfxdjyTR,Twitter for iPhone,0,"Groß-Enzersdorf, Österreich",,
1345801274353184768,03-01-2021,rosenbaumg0,"#BerlinDirekt zeichnete den politischen Ausblick auf das neue Jahr 2021, welches durch die Auseinandersetzung geprägt werden wird, wer die #Corona Krise und die Staatsverschuldung eigentlich finanziert. 80 Prozent meinen die „Vermögenden“ und zeigen mit dem Finger auf andere.",Twitter Web App,0,Bakum,,
1345801261166297093,03-01-2021,itsjacky93,"Seid dem es Corona gibt war ich nicht mehr in Portugal, kein einziges Mal am Grab meines Bruder. Dort wo ich einfach seine Nähe habe. Ich weiß kann das auch hier zuhause. Aber es fehlt einfach dort zu stehen und zu reden. CORONA WANN BITTE GEHTS DU ?",Twitter for iPhone,0,"Schöppingen, Deutschland",,
1345801245479604224,03-01-2021,Chachrisu,"Diese Psychopathin ist eine Stalkerin wie die anderen Pressefuzis Sie verstecken sich aber hinter dem PresseausweisEs sind keine Coronaleugner sondern Corona Maßnahmen KritikerDiese ekekhaften Medien Hetzer verbreiten nur Hass,nur weil die Kritiker keine Normopaten sind wie Sie. https://t.co/TE4ft8OG09",Twitter for Android,0,"Wien, Österreich",,
1345801217772023815,03-01-2021,WernerBruns1,"#Berlindirekt , #ZDF,  zu den Folgen von  #Corona. #Scholz, #Schäuble  und #Harbeck für höhere  #Steuern bei hohem Einkommen. Klar, dass man im Jahr der Bundestagswahl nicht sagen will, dass wir alle am Ende mehr Steuern zahlen müssen.",Twitter for iPad,0,"Deutschland, geb.in Hameln",,
1345801210272624640,03-01-2021,wazwolfsburg,In allen 50 Zentren im Land: Niedersachsen will Impfungen ab Montag ausweiten https://t.co/otycTv8Mxv,Echobox,0,Wolfsburg,,
1345801175598321667,03-01-2021,unsc0ped,"""Lockdown wird nicht so lange dauern""Lockdown : https://t.co/KYbdP6RWRv",Twitter for Android,0,Unsc0ped#0010,,
1345801129326768130,03-01-2021,hart_neck,#COVID19-Folgen treffen uns  jetzt mit voller Wucht. 😳 https://t.co/Gcl6pYmrPA,Twitter for iPhone,0,aus 1180 Wien | Weinviertel,,
1345801098108559360,03-01-2021,de_rt_com,"Hunderte versammelten sich am Samstag im Londoner #HydePark, um gegen die #Lockdown-Maßnahmen zu demonstrieren. Berichten zufolge wurde Piers #Corbyn zusammen mit 17 weiteren #Demonstranten verhaftet. https://t.co/Xi9vZtoO3a",Twitter Media Studio,0,"Berlin, Germany",,
1345801086486138884,03-01-2021,Maximilian_247,"Das Impfen sollte uns doch eigentlich viel mehr wert sein als ein Lockdown. Da stimmt bei der Bundesregierung die Prioritätensetzung zurzeit gar nicht. Man könnte böswillig behaupten, es gibt bei einigen in der Bundesregierung eine Lust aufs Einsperren.",Twitter for iPhone,0,Kiel,,
