tweet_id,date,username,tweet,source,retweet_count,user_location,user_place,coordinates
1346889633989341184,06-01-2021,maniacintosh,"Auch wenn es aktuell nicht geplant ist, braucht es vielleicht eine Impfpflicht für Personen die potenziell viel Kontakt mit Risikopatienten bzw. Infizierten haben.Darum wollen sich einige Bremer Pflegekräfte nicht gegen Corona impfen l... https://t.co/PmF5cfaLdh via @YouTube",Twitter for iPhone,0,Planet Earth,,
1346889622916366339,06-01-2021,neu_sprech,"Laut dem umstrittenen BVT werden die Corona-Demos federführend von Rechtsradikalen organisiert.. Braucht man das BVT noch, oder kann das weg? Was können die eigentlich???",Twitter for Android,0,Österreich,,
1346889600711720968,06-01-2021,LGcommaI,"#LindenDehningMohrEtAl-1.[#preprints]The foreshadow of a #SecondWave: An analysis of current #COVID19 fatalities in #GermanyMatthias LindenJonas DehninSebastian B. MohrJan MohringMichael Meyer-HermannIris PigeotAnita SchöbelViola #Priesemann""M.t. 'Die #ZweiteWelle&gt;",Twitter Web App,0,Germany,,
1346889595552747522,06-01-2021,MartinSoechting,"Wenn ich mir all die kopflose Hysterie um den Lockdown anschaue, stelle ich den Antrag , das ""sapiens"" aus unserer Gattungsbezeichnung zu streichen.",Twitter Web App,0,Spangenberg/Germany,,
1346889571968184322,06-01-2021,djung06,"Also Aktien können wieder in den Keller fallen, Sex dagegen ...https://t.co/jvAPyuEQ9s",Twitter for Android,0,,"Place(_api=<tweepy.api.API object at 0x00000185A10B1040>, id='fce3942394140e48', url='https://api.twitter.com/1.1/geo/id/fce3942394140e48.json', place_type='city', name='Stralsund', full_name='Stralsund, Germany', country_code='DE', country='Germany', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x00000185A10B1040>, type='Polygon', coordinates=[[[12.993748, 54.24493], [13.17845, 54.24493], [13.17845, 54.3457036], [12.993748, 54.3457036]]]), attributes={})",
1346889562426134532,06-01-2021,eisinghausen,"Aller Anfang ist schwer...Die Versuche im letzten Jahr mit dem Betreiber in Kontakt zu treten, führten allenfalls zu einem Monolog.Dazu haben die Corona Umstände im vergangenen Jahr auch sehr abgelenkt. Nur wird man jeden Abend und jeden Morgen ""erinnert"" das hier nicht bei 1/3",Twitter for Android,0,Leer-Eisinghausen,,
1346889530822057984,06-01-2021,OlafGersemann,"Allein gestern sind in 🇮🇱 1,31% der Bürger gegen #Corona geimpft worden.In 🇩🇪 waren es 0,06%.Chart: @OurWorldInData https://t.co/v1WCntPdBV",Twitter Web App,0,"Berlin, Deutschland",,
1346889456364777474,06-01-2021,WAZ_Redaktion,Corona-Lockdown: Welche Branchen dürfen noch arbeiten? https://t.co/soyVvUl2xg https://t.co/SnI4Yf7Ygr,Echobox,0,Essen,,
1346889449624502276,06-01-2021,StN_News,Sieg bei Vierschanzentournee: Kamil Stoch trotzt auch dem Corona-Chaos https://t.co/MT3rl7otWM,Echobox,0,"Stuttgart, Germany",,
1346889441512718337,06-01-2021,firedevil__,Lasst mich kurz überleg.... NEIN! #corona #Impfung https://t.co/hqhoTXqcR1,Twitter for iPhone,0,,,
1346889434978013186,06-01-2021,caro234,"Meine größte Angst im Herbst war ja der Punkt,  wo die Grippewelle zu Corona dazu kommt. Immerhin bisher Ruhe an der Front. WEIß man, warum? (Wissen bitte, nicht glauben...)",Twitter for Android,0,Vienna,,
1346889407022903300,06-01-2021,AnnelieNaumann,"Der Initiator, so gab er an, stehe nun am „Ende seiner Existenz“. Nur: Laut einer Auskunftei befand sich der Mann schon vor Corona in finanziellen Schwierigkeiten. Und auch sonst stimmt bei #WirMachenAuf so einiges nicht.https://t.co/iNsewhfWOS mit @Matthias_Kamann @welt",Twitter Web App,1,"Berlin, Deutschland",,
1346889402841239559,06-01-2021,es_be_er,"„Die Ministerpräsidenten dachten offenbar, sie könnten Covid wegfeilschen. Wie zum Beweis der enormen Topflappigkeit der Runde scheren am Dienstagabend zwei Ministerpräsidenten sofort wieder aus dem wenige Stunden zuvor getroffenen Beschluss aus.“ Ja! https://t.co/clM43zfREk",Twitter for iPhone,0,"Berlin, Deutschland",,
1346889379617382407,06-01-2021,NOKZEIT,LESEN SIE JETZT AUF NOKZEIT: 82 neue Infektionsfälle am Dreikönigstag -  #COVID19 #Mosbach #NeckarOdenwaldKlinik #Sliderhttps://t.co/b1Z3d9GwsF https://t.co/YoHLUqwsLw,Blog2Social APP,0,"49.464648,9.058835",,
1346889352387964942,06-01-2021,KotarbaRalf,Polizeikontrolle wg Lockdown u. wie man damit umgeht❗Hier das komplette Videohttps://t.co/DKo1k4yMw4,Twitter for Android,0,,,
1346889295760678913,06-01-2021,KorrektorX,"💀#Durchseuchung Erfolge: In England ist jeder 50. #Covid19 positivIn London jeder 30.In Essex jeder 18.In Southend jeder 12.Über 1,2 Millionen aktuell Infizierte.In den letzten 24 Stunden 64.233Ab Donnerstag wird wieder für #NHS geklatscht 👏https://t.co/JrvwfK8F8n",Twitter Web App,0,,,
1346889290102444035,06-01-2021,Korrektheiten,"Kopp: Mittwoch, 06.01.2021 17:00 Uhr: +++ Diffamierungskampagne läuft bereits: #WirMachenAuf – Verzweiflungstat von Ladenbesitzern und Gastronomen +++ +++ Habt Euch lieb und haltet Abstand! Der Corona-Erziehungsstaat +++ +++ »Wir erwarten Disziplin«: CSU… https://t.co/GvhtqKvyOQ https://t.co/gMVlkoXWKd",dlvr.it,0,Berlin,,
