tweet_id,date,username,tweet,source,retweet_count,user_location,user_place,coordinates
1348692538744565761,11-01-2021,Dermottwitt,Krankenwagen warten bis zu neun Stunden vor der Notaufnahme https://t.co/ICag5dz6Oh via @zeitonline,Twitter for Android,0,,,
1348692492661755906,11-01-2021,SZ_Freising,Schulstart im Landkreis Freising: Normal ist nichts mehr https://t.co/I8DbHetnWG,IFTTT,0,Freising,,
1348692491252457474,11-01-2021,EffBieEi,"Wie die Lage wohl wäre, wenn wir Juli/August für 3 Wochen einen kompletten Lockdown gehabt hätten..",Twitter for Android,0,Erde,,
1348692476555653128,11-01-2021,hanfverband,Mit #Cannabis durch den #Lockdown! #LegalizeIt https://t.co/XJbglzLBQs,Twitter for Android,0,Berlin,,
1348692462353707009,11-01-2021,GdeParthenstein,Impfzentren und Corona-Radius jetzt auch auf dem SmartphoneDas Geoportal des GeoSN hilft mit digitalen Kartenhttps://t.co/NEBAbo3Sxi https://t.co/sEoxEFd0pk,Blog2Social APP,0,D-04668 Parthenstein,,
1348692452828459009,11-01-2021,Haferlasche,"#China #Amnesty #Wuhan #Covid_19 Die Anklage: ""Streit angefangen und Ärger provoziert zu haben"", weil sie aus Wuhan über Covid-19 berichtet hatte. Zhang Zhan hat ihren Hungerstreik unterbrochen, um weiteren Strafmaßnahmen im Gefängnis zu entgehen.https://t.co/E1E5M3ENUS",Twitter Web App,0,Sehr gern ganz woanders,,
1348692452182515713,11-01-2021,KAgezwitscher,"Erika und Hans-Joachim Leibfried aus #Gedern sind das, was man fitte und aktive Rentner nennt. Bis #Corona sie vor zehn Monaten ausgebremst hat. Hoffnung auf ein Ende dieser lähmenden Zeit haben sie, seit im Dezember der erste Impfstoff zugelassen wurde. https://t.co/XFNRoWu8bF",Hootsuite Inc.,0,Nidda,,
1348692431752015875,11-01-2021,ainyrockstar,"Wurde gestern im Livestream auf FB mehrmals gefragt, was ich von der #FDP erwarte. Die Antwort ist einfach: Gar nichts mehr. Wer in solch zutiefst illiberalen Zeiten als vermeintlich liberale Partei keine Themen außer ein bisschen Corona für sich findet, hat fertig.",Twitter for iPhone,0,Germany,,
1348692420293238784,11-01-2021,hammerih,"Ich kenne mittlerweile mehr Menschen, die bereits die erste Impfung bekommen haben wie Menschen, die Corona hatten. Also... Und ja das ist aktuell fast durch die Bank medizinisches Personal.",Fenix 2,0,Der echte Norden ™️,,
1348692413502664704,11-01-2021,FreieWeltEu,➦ Gesundheit: 125 Corona-Neuinfektionen in MV am Montag»    https://t.co/mIVeP8CrbJ,Freie-Welt,0,Oldenburg,,
1348692400370196482,11-01-2021,Detlef389,https://t.co/7K9vQmQ2O5#Corona-#Impfstoff: Affentest???(Ich nehm ihn trotzdem!)🤣🤣🤣 https://t.co/wf87RFsU1u,Twitter Web App,0,,,
1348692382938771457,11-01-2021,Glenkor_,"Für mich ist diese ganze Corona-Lockdown-Sache mit den ganzen Masken und so voll zum Alltag geworden. Für mich wird wahrscheinlich die ""Normalität"" (wenn sie zurückkommt) total merkwürdig sein.",TweetDeck,0,,,
1348692361312940036,11-01-2021,Sektordrei,"""Allein BioNTech hat im letzten Jahr über 350 Millionen Euro Steuergelder für die Entwicklung des Impfstoffes erhalten, mehr als die Hälfte der gesamten Entwicklungskosten."" https://t.co/P9I1XCBgUg[]",Twitter for Android,0,,,
1348692354958503939,11-01-2021,pdfkungfoo,"#Eisenmann imitiert jetzt #Trump.Streitet offensichtliche Fakten einfach ab.Passt zu früheren Aussagen:-""Schulen keine #Pandemie-Treiber""-""Schüler tragen #Corona ned weiter""-""Schüler erkranken nicht an #CoViD19"" -""#Moodle fiel ned flächendeckend aus""https://t.co/VBsSPRIKhh",Twitter Web App,0,Stuttgart/Germany,,
