tweet_id,date,username,tweet,source,retweet_count,user_location,user_place,coordinates
1336064780692549637,07-12-2020,LaDonnaCorleone,"*Prof. Rupert Scholz (83, CDU) Staatsrechtler, ehem Verteidigungsminister: “ Er sagt in der Bild, worum es Merkel, Söder und Lauterbach wirklich geht. „In Wahrheit geht es nicht um Solidarität, sondern um eine anmaßende Bevormundung.https://t.co/6nFRmNNPa3",Twitter for Android,0,Europa,,
1336064776028516352,07-12-2020,TorstenHerres,"Schulen in #Corona Zeiten: Wahrheit oder #Impfpflicht, Desinfektionsmittel-Flaschendrehen und Fangen - mit 2 Meter Sicherheitsabstand. Es ist nicht schön, aber es geht jetzt darum, die Krise gut zu überstehen. 😷",Twitter for iPhone,0,"Bonn, Deutschland",,
1336064756499816450,07-12-2020,plaetzchen,Gestern 380 Corona-Tote.380 Särge380 Familien in Trauer380 Beerdigungen,Tweetbot for iΟS,0,"Berlin, Germany","Place(_api=<tweepy.api.API object at 0x000001F4731AF040>, id='47c235d0c44f3e6a', url='https://api.twitter.com/1.1/geo/id/47c235d0c44f3e6a.json', place_type='neighborhood', name='Friedrichshain', full_name='Friedrichshain, Berlin', country_code='DE', country='Germany', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000001F4731AF040>, type='Polygon', coordinates=[[[13.42058, 52.485929], [13.49149, 52.485929], [13.49149, 52.5307583], [13.42058, 52.5307583]]]), attributes={})",
1336064747041660928,07-12-2020,Gehirn_akrobat,Wo sind die Gesundheitstips/-Kampanien zur Stärkung des Immunsystems?#Psychoimmunologie #Immunsystem #Vitamine #Mineralstoffe #Obst #Gemüse #Corona #Apotheke #Politik #Massnahmen #Gesundheitssystem #Bewegung #DGE,Twitter for Android,0,,,
1336064709238415361,07-12-2020,ai_Ehrenfeld,"Am 10. Dezember um 19 Uhr referiert @MariaScharlau, Völkerrechtsexpertin von #AmnestyInternational auf dem 6. #KölnerMenschenrechtsforum über #Corona  und die #Menschenrechte.Hier gehts zur Anmeldung: https://t.co/MgaoES1MMd https://t.co/rCQjCejUtI",Twitter Web App,0,"Köln, Nordrhein-Westfalen",,
1336064670554320897,07-12-2020,Neuro24de,"Corona-Test und Test auf andere Viren mit Hilfe der Smartphone Kamera, - mit CRISPR-Cas Technologie, könnte ein schneller Take home Test werden. Bis zur Serienreife nach der Forschung wird es aber dauern.https://t.co/bASientQGI",Twitter Web App,0,Heidelberg,,
1336064610886094849,07-12-2020,ltc_hicks,"Einige Beschäftigte im Gesundheitswesen sind vorsichtig, COVID-19-Impfstoffe zu erhalten https://t.co/kpFEBYaA8R",Twitter for iPhone,0,HI,,
1336064595950264322,07-12-2020,channilein,"Corona ist ja auch, wenn man sich vor der einen Hälfte der Menschheit rechtfertigen muss, dass man das Haus die nächsten zwei Wochen nicht verlässt, und vor der anderen Hälfte, dass man Weihnachten zu seinen Eltern fährt.",Twitter for Android,0,"Nürnberg, Bayern",,
1336064587268026375,07-12-2020,umrath,"Hätten wir Anfang November einen konsequenten Lockdown gefahren, wären wir jetzt durch mit dem Krampf.Aber nein, wir müssen ja rumeiern und einen Lockdown light fahren.War nicht vorher klar, dass das nicht klappen wird?(Mir war es klar, bei der Ankündigung.)#Corona",Tweetbot for iΟS,0,Regensburg/Germany,"Place(_api=<tweepy.api.API object at 0x000001F4731AF040>, id='8ba9d435d2e7a973', url='https://api.twitter.com/1.1/geo/id/8ba9d435d2e7a973.json', place_type='admin', name='Regensburg', full_name='Regensburg, Bavaria', country_code='DE', country='Germany', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000001F4731AF040>, type='Polygon', coordinates=[[[11.65916, 48.764943], [12.4912016, 48.764943], [12.4912016, 49.223344], [11.65916, 49.223344]]]), attributes={})",
1336064542221152259,07-12-2020,Knackeboul,mein motto bei ch-corona-massnahmen: 🗣🌶,Twitter for iPhone,0,Schweiz,,
1336064539926917127,07-12-2020,icouldfyourdad,corona ist das farbfernsehen der zukunftsangst,Twitter for iPhone,0,,,
1336064497480572929,07-12-2020,Sagenwirmalso,"Das geht gar nicht. Sonst würde man es immer machen, um schneller und kostengünstiger zu sein.Verarsche pur.Eine Eilzulassung ist immer noch was anderes.#COVID19 #Impfstoffe https://t.co/q8LjoW6hMt",Twitter for Android,0,NRW,,
1336064465503211523,07-12-2020,promiflash,Reality-TV-Star Kader Loth wird aktuell wegen ihrer Corona-Erkrankung im Krankenhaus behandelt. Ihr Zustand ist noch immer beunruhigend https://t.co/d1WODqS1Wb,Promiflash,0,"Berlin, Germany",,
1336064454757408771,07-12-2020,FloeDiMaggio,Alle 15 Minuten stirbt jemand an oder mit corona und die fragen wie gefährlich Corona (noch) ist war für eine zynische scheiße das alles ist https://t.co/EHFrLqDgrn,Twitter for iPhone,0,Hamburg,,
1336064417792929803,07-12-2020,stuckchen,"Wenn man jetzt 1 neue:n Mitbewohner:in sucht, dann ist nicht mehr die schlimmste Lüge, dass Sauberkeit natürlich  wichtig ist und dann wird doch nicht geputzt. Das schlimmste jetzt is, wenn gesagt wird man nimmt Corona ernst und dann sitz 1 Covidiot bei dir zuhaus und macht Party",Twitter Web App,0,"München, Bayern",,
1336064325333741571,07-12-2020,Spiderm00d,digga hab richtig spritzpups einfach Aggregatzustand flüssig was geht jz ab hab ich jetzt corona,Twitter for iPhone,0,hier,,
1336064298888597504,07-12-2020,speertraeger57,"Corona oder Lungenseuche? niemand sagt die Wahrheitwie sie wirklichn ist...Nur Gott kann man vertrauen, denn er weiß... und er weiß alles!Tourist bringt Lungenpest auf Seychellen! https://t.co/3ZQ9LHgcfi",Twitter Web App,0,"Viersen, Deutschland",,
1336064294279127041,07-12-2020,Wobistdu7,Böllerverbot geht nicht vs totaler Lockdown ab 27.12. Halt mal mein Bier... #COVID19 #lockdown #Silvester #Boellerverbot #CoronaVirusDE,Twitter for iPhone,0,,,
1336064288344117249,07-12-2020,Rechtsuniversum,Die Uhr tickt! Nur bis Ende Dezember noch kann ein Corona-Bonus gewährt werden. https://t.co/NiEbt5B9K6 #Steuerrecht (571 Wörter),Anwaltsblogs,0,"Berlin, Deutschland",,
1336064268177973254,07-12-2020,mia_elysia,"Entschuldigt bitte, dass viele der Bildbände so lange unterwegs sind- erst wurden die Boxen blockiert, dann wurde ich von sooo vielen Geschenken abgelenkt und nun liegen sie seit 3-4 Tagen in der Packstation wegen Corona- und Weihnachtsüberforderung🙄 https://t.co/MtLjfhbQ6Z",Twitter for iPhone,0,"Bonn, Deutschland",,
1336064266491850756,07-12-2020,noen_online,Bezirk Horn: Nur zwei Lehrer positiv https://t.co/cftFD4fBf0,Echobox,0,Niederösterreich,,
1336064266139471874,07-12-2020,Highres_BN,Berichte über Langzeitfolgen. Covid-19 könnte Potenzstörung auslösen. Vielleicht macht dieses Risiko die „Querdenker“ nachdenklich? https://t.co/29nwRwR3H9,Twitter for iPhone,0,"Bonn, Germany",,
1336064240331972614,07-12-2020,Ruby_im_Rock,"#lockdownOhne Freunde, ohne Familie, ohne Sex argh",Twitter Web App,0,Kiel,,
1336064234896166913,07-12-2020,dh5fs,Corona Contact Tracing Germany (Corona-Kontaktverfolgung in Deutschland) - https://t.co/AiOCEsbdgy,Twitter for Android,0,,,
1336064211831693317,07-12-2020,FOCUS_TopNews,Einige Länderchefs haben sich für ein Treffen ausgesprochen - doch so manch anderer hält dagegen. https://t.co/JLT7fq6KI2,Swat.io,0,Deutschland,,
1336064211072512006,07-12-2020,focussport,Einige Länderchefs haben sich für ein Treffen ausgesprochen - doch so manch anderer hält dagegen. https://t.co/bHyhRCLFFY,Swat.io,0,München,,
1336064211064131589,07-12-2020,focuspanorama,Einige Länderchefs haben sich für ein Treffen ausgesprochen - doch so manch anderer hält dagegen. https://t.co/JZ1lV50960,Swat.io,0,"München, Bayern",,
1336064210271350791,07-12-2020,focusreise,Einige Länderchefs haben sich für ein Treffen ausgesprochen - doch so manch anderer hält dagegen. https://t.co/F9Xyoa0lhP,Swat.io,0,,,
1336064210208436226,07-12-2020,focusgesundheit,Einige Länderchefs haben sich für ein Treffen ausgesprochen - doch so manch anderer hält dagegen. https://t.co/8psrwcNiYR,Swat.io,0,,,
1336064209516453893,07-12-2020,focusonline,Einige Länderchefs haben sich für ein Treffen ausgesprochen - doch so manch anderer hält dagegen. https://t.co/RLdUlNtch8,Swat.io,0,Deutschland,,
1336064209050890240,07-12-2020,focuspolitik,Einige Länderchefs haben sich für ein Treffen ausgesprochen - doch so manch anderer hält dagegen. https://t.co/yqzgbzSBS7,Swat.io,0,München,,
1336064208937611275,07-12-2020,Orbit___,Das wird unser Laden nicht überleben #lockdown https://t.co/oeFZn2jC84,Twitter for Android,0,Under your bed!,,
1336064208811810828,07-12-2020,focusauto,Einige Länderchefs haben sich für ein Treffen ausgesprochen - doch so manch anderer hält dagegen. https://t.co/DSTcMPqAYI,Swat.io,0,München,,
1336064206832013312,07-12-2020,focusdigital,Einige Länderchefs haben sich für ein Treffen ausgesprochen - doch so manch anderer hält dagegen. https://t.co/dfHnSqzeFY,Swat.io,0,München,,
