tweet_id,date,username,tweet,source,retweet_count,user_location,user_place,coordinates
1339627492395651074,17-12-2020,Kontroverso_,Hätten wir mal eher einen harten #Lockdown gemacht. Der scheint ja Gold wert zu sein für die #Wirtschaft. Der #Dax jedenfalls hat ein Rekordhoch erreicht.https://t.co/vbTe9aFn39,Twitter Web App,0,Zwischen Ballermann und Berlin,,
1339627490164297730,17-12-2020,svejkaktuell,EU-Behörde entscheidet schon am 6. Januar über Zulassung von Moderna-Impfstoff https://t.co/QTjnSwltmX by @focusgesundheit,Buffer,0,,,
1339627481909911553,17-12-2020,WoleDesign,"Über 350 verschiedene Schutzmasken Motive.Schenken sie Gesundheit mit unseren modischen und ausgefallenen, stilvollen Atem-Schutzmasken &amp; Geschenken mit modisch aktuellen Motiven, Schutzmasken müssen nicht immer langweilig sein https://t.co/sohOlu1TDE#Corona #Schutzmasken https://t.co/ybRuiZUiMe",Twitter Media Studio,0,Deutschland,,
1339627464516136964,17-12-2020,OhneWorte2015,Noch Fragen 😎?#COVID19 #Corona #Impfung https://t.co/CwZCWeoeIC,Twitter for iPhone,0,,,
1339627447080259584,17-12-2020,Anu49Sah,#DouglasBoykottBis April will er es verlängern der UltraDrostenhttps://t.co/fAtC5W3zfC,Twitter for iPhone,0,Karballa,,
1339627435864813568,17-12-2020,WoleDesign,"Über 350 verschiedene Schutzmasken Motive.Schenken sie Gesundheit mit unseren modischen und ausgefallenen, stilvollen Atem-Schutzmasken &amp; Geschenken mit modisch aktuellen Motiven, Schutzmasken müssen nicht immer langweilig sein https://t.co/sohOlu1TDE#Corona #Schutzmasken https://t.co/A7VHxeOIU9",Twitter Media Studio,0,Deutschland,,
1339627432031227906,17-12-2020,klatsch_tratsch,"Corona-Erkrankung: Ellen DeGeneres litt unter ""qualvollen Schmerzen"" #Corona #EllenDeGenereshttps://t.co/nOVDghfvWP",klatsch-tratsch.de,0,Germany,,
1339627423911075841,17-12-2020,meandxselfs,"Welches ist dein #Lieblingslied?“ Dr. Dröstchen, Weißröckchen.. "" *sing*🎶#Corona #Weihnachten https://t.co/dEwNjC3zI2",Twitter Web App,0,,,
1339627418408120325,17-12-2020,topagrar,"Zu Beginn der #Coronazeit hätte #Claas nicht erwartet, dass sich die Umsätze so stabil entwickeln und auf vielen Märkten sogar deutlich steigen. #Corona #Landtechnik https://t.co/DCb6cjN6ZP",TweetDeck,0,Münster (NRW),,
1339627417468596224,17-12-2020,FrankvanVossen,"Karma is a bitch!#COVID19 ist bestimmt nur eine Grippe...Mehr Sorgen mache ich mir um jene, welche dieser Leugnerdepp zwischenzeitlich angesteckt hat! #Seitz #noAfD https://t.co/YpMZTVWyFZ",Twitter for iPhone,0,"Leipzig, Germany",,
1339627400284520460,17-12-2020,Anu49Sah,#NieMehrCDU #Nebenwirkungen #Seitz #Lanz #illner #maischberger #lockdown Bis April will er es verlängern der UltraDrostenhttps://t.co/fAtC5VLYo4,Twitter for iPhone,0,Karballa,,
1339627391841398786,17-12-2020,adeba,Ständige Impfkommission veröffentlicht Empfehlungen zur COVID-19-Impfung ⋆ Adeba https://t.co/KefZVZzHU3,Twitter Web App,0,Germany,,
1339627390947872768,17-12-2020,ObstHarry,SPD-Bundestagsabgeordneter: Karl Lauterbach: „Lockdown womöglich bis April“ https://t.co/texItAkKgs Das überhaupt noch jemand diesem Irren Gehör schenkt! Der hat doch so was von einem an der Klatsche das man es schon als geistige Umnachtung bezeichnen muß!,Twitter Web App,0,,,
1339627369481551878,17-12-2020,dnn_online,„War das falsche Wort“ – Kretschmer relativiert Forderung nach „autoritären Maßnahmen“ https://t.co/zviiSiJFEQ,Echobox,0,Dresden,,
1339627332718505987,17-12-2020,Brustkorb,"Ich verlange von der Politik, dass der Lockdown verlängert wird, bis der Inzidenzwert minus 25 beträgt.Sicher ist sicher.",Twitter for iPhone,0,Oberkörper,,
1339627261318803457,17-12-2020,littlewisehen,Treffen wir uns alle nach Corona um 18.30 Uhr? 😎,Twitter Web App,1,"London/Camden, Rottach-Egern ",,
1339627260693917698,17-12-2020,mazelios,Lifehack: Beim rausgehen während dem  Lockdown einfach einen schmutzigen Blaumann anziehen... Man ist halt aufm Weg zur Arbeit 🤷🏻‍♂️🤷🏻‍♂️,Twitter for iPhone,0,,,
